language,number,constructions
artificial_language_g0_63,80,(((3 * 5) + 1) * 5)
artificial_language_g0_63,81,((((3 * 5) + 1) * 5) + 1)
artificial_language_g0_63,82,((((3 * 5) + 1) * 5) + 2)
artificial_language_g0_63,83,((((3 * 5) + 1) * 5) + 3)
artificial_language_g0_63,84,((((3 * 5) + 1) * 5) + 4)
artificial_language_g0_63,85,(((3 * 5) + 2) * 5)
artificial_language_g0_63,86,((((3 * 5) + 2) * 5) + 1)
artificial_language_g0_63,87,((((3 * 5) + 2) * 5) + 2)
artificial_language_g0_63,88,((((3 * 5) + 2) * 5) + 3)
artificial_language_g0_63,89,((((3 * 5) + 2) * 5) + 4)
artificial_language_g0_63,90,(((3 * 5) + 3) * 5)
artificial_language_g0_63,91,((((3 * 5) + 3) * 5) + 1)
artificial_language_g0_63,92,((((3 * 5) + 3) * 5) + 2)
artificial_language_g0_63,93,((((3 * 5) + 3) * 5) + 3)
artificial_language_g0_63,94,((((3 * 5) + 3) * 5) + 4)
artificial_language_g0_63,95,(((3 * 5) + 4) * 5)
artificial_language_g0_63,96,((((3 * 5) + 4) * 5) + 1)
artificial_language_g0_63,97,((((3 * 5) + 4) * 5) + 2)
artificial_language_g0_63,98,((((3 * 5) + 4) * 5) + 3)
artificial_language_g0_63,99,((((3 * 5) + 4) * 5) + 4)
artificial_language_g0_63_m3,1,1
artificial_language_g0_63_m3,2,2
artificial_language_g0_63_m3,3,3
artificial_language_g0_63_m3,4,4
artificial_language_g0_63_m3,5,(4 + 1)
artificial_language_g0_63_m3,6,(4 + 2)
artificial_language_g0_63_m3,7,(4 + 3)
artificial_language_g0_63_m3,8,(2 * 4)
artificial_language_g0_63_m3,9,((2 * 4) + 1)
artificial_language_g0_63_m3,10,((2 * 4) + 2)
artificial_language_g0_63_m3,11,((2 * 4) + 3)
artificial_language_g0_63_m3,12,(3 * 4)
artificial_language_g0_63_m3,13,((3 * 4) + 1)
artificial_language_g0_63_m3,14,((3 * 4) + 2)
artificial_language_g0_63_m3,15,((3 * 4) + 3)
artificial_language_g0_63_m3,16,(4 * 4)
artificial_language_g0_63_m3,17,((4 * 4) + 1)
artificial_language_g0_63_m3,18,((4 * 4) + 2)
artificial_language_g0_63_m3,19,((4 * 4) + 3)
artificial_language_g0_63_m3,20,((4 + 1) * 4)
artificial_language_g0_63_m3,21,(((4 + 1) * 4) + 1)
artificial_language_g0_63_m3,22,(((4 + 1) * 4) + 2)
artificial_language_g0_63_m3,23,(((4 + 1) * 4) + 3)
artificial_language_g0_63_m3,24,((4 + 2) * 4)
artificial_language_g0_63_m3,25,(((4 + 2) * 4) + 1)
artificial_language_g0_63_m3,26,(((4 + 2) * 4) + 2)
artificial_language_g0_63_m3,27,(((4 + 2) * 4) + 3)
artificial_language_g0_63_m3,28,((4 + 3) * 4)
artificial_language_g0_63_m3,29,(((4 + 3) * 4) + 1)
artificial_language_g0_63_m3,30,(((4 + 3) * 4) + 2)
artificial_language_g0_63_m3,31,(((4 + 3) * 4) + 3)
artificial_language_g0_63_m3,32,((2 * 4) * 4)
artificial_language_g0_63_m3,33,(((2 * 4) * 4) + 1)
artificial_language_g0_63_m3,34,(((2 * 4) * 4) + 2)
artificial_language_g0_63_m3,35,(((2 * 4) * 4) + 3)
artificial_language_g0_63_m3,36,(((2 * 4) + 1) * 4)
artificial_language_g0_63_m3,37,((((2 * 4) + 1) * 4) + 1)
artificial_language_g0_63_m3,38,((((2 * 4) + 1) * 4) + 2)
artificial_language_g0_63_m3,39,((((2 * 4) + 1) * 4) + 3)
artificial_language_g0_63_m3,40,(((2 * 4) + 2) * 4)
artificial_language_g0_63_m3,41,((((2 * 4) + 2) * 4) + 1)
artificial_language_g0_63_m3,42,((((2 * 4) + 2) * 4) + 2)
artificial_language_g0_63_m3,43,((((2 * 4) + 2) * 4) + 3)
artificial_language_g0_63_m3,44,(((2 * 4) + 3) * 4)
artificial_language_g0_63_m3,45,((((2 * 4) + 3) * 4) + 1)
artificial_language_g0_63_m3,46,((((2 * 4) + 3) * 4) + 2)
artificial_language_g0_63_m3,47,((((2 * 4) + 3) * 4) + 3)
artificial_language_g0_63_m3,48,((3 * 4) * 4)
artificial_language_g0_63_m3,49,(((3 * 4) * 4) + 1)
artificial_language_g0_63_m3,50,(((3 * 4) * 4) + 2)
artificial_language_g0_63_m3,51,(((3 * 4) * 4) + 3)
artificial_language_g0_63_m3,52,(((3 * 4) + 1) * 4)
artificial_language_g0_63_m3,53,((((3 * 4) + 1) * 4) + 1)
artificial_language_g0_63_m3,54,((((3 * 4) + 1) * 4) + 2)
artificial_language_g0_63_m3,55,((((3 * 4) + 1) * 4) + 3)
artificial_language_g0_63_m3,56,(((3 * 4) + 2) * 4)
artificial_language_g0_63_m3,57,((((3 * 4) + 2) * 4) + 1)
artificial_language_g0_63_m3,58,((((3 * 4) + 2) * 4) + 2)
artificial_language_g0_63_m3,59,((((3 * 4) + 2) * 4) + 3)
artificial_language_g0_63_m3,60,(((3 * 4) + 3) * 4)
artificial_language_g0_63_m3,61,((((3 * 4) + 3) * 4) + 1)
artificial_language_g0_63_m3,62,((((3 * 4) + 3) * 4) + 2)
artificial_language_g0_63_m3,63,((((3 * 4) + 3) * 4) + 3)
artificial_language_g0_63_m3,64,((4 * 4) * 4)
artificial_language_g0_63_m3,65,(((4 * 4) * 4) + 1)
artificial_language_g0_63_m3,66,(((4 * 4) * 4) + 2)
artificial_language_g0_63_m3,67,(((4 * 4) * 4) + 3)
artificial_language_g0_63_m3,68,(((4 * 4) + 1) * 4)
artificial_language_g0_63_m3,69,((((4 * 4) + 1) * 4) + 1)
artificial_language_g0_63_m3,70,((((4 * 4) + 1) * 4) + 2)
artificial_language_g0_63_m3,71,((((4 * 4) + 1) * 4) + 3)
artificial_language_g0_63_m3,72,(((4 * 4) + 2) * 4)
artificial_language_g0_63_m3,73,((((4 * 4) + 2) * 4) + 1)
artificial_language_g0_63_m3,74,((((4 * 4) + 2) * 4) + 2)
artificial_language_g0_63_m3,75,((((4 * 4) + 2) * 4) + 3)
artificial_language_g0_63_m3,76,(((4 * 4) + 3) * 4)
artificial_language_g0_63_m3,77,((((4 * 4) + 3) * 4) + 1)
artificial_language_g0_63_m3,78,((((4 * 4) + 3) * 4) + 2)
artificial_language_g0_63_m3,79,((((4 * 4) + 3) * 4) + 3)
artificial_language_g0_63_m3,80,(((4 + 1) * 4) * 4)
artificial_language_g0_63_m3,81,((((4 + 1) * 4) * 4) + 1)
artificial_language_g0_63_m3,82,((((4 + 1) * 4) * 4) + 2)
artificial_language_g0_63_m3,83,((((4 + 1) * 4) * 4) + 3)
artificial_language_g0_63_m3,84,((((4 + 1) * 4) + 1) * 4)
artificial_language_g0_63_m3,85,(((((4 + 1) * 4) + 1) * 4) + 1)
artificial_language_g0_63_m3,86,(((((4 + 1) * 4) + 1) * 4) + 2)
artificial_language_g0_63_m3,87,(((((4 + 1) * 4) + 1) * 4) + 3)
artificial_language_g0_63_m3,88,((((4 + 1) * 4) + 2) * 4)
artificial_language_g0_63_m3,89,(((((4 + 1) * 4) + 2) * 4) + 1)
artificial_language_g0_63_m3,90,(((((4 + 1) * 4) + 2) * 4) + 2)
artificial_language_g0_63_m3,91,(((((4 + 1) * 4) + 2) * 4) + 3)
artificial_language_g0_63_m3,92,((((4 + 1) * 4) + 3) * 4)
artificial_language_g0_63_m3,93,(((((4 + 1) * 4) + 3) * 4) + 1)
artificial_language_g0_63_m3,94,(((((4 + 1) * 4) + 3) * 4) + 2)
artificial_language_g0_63_m3,95,(((((4 + 1) * 4) + 3) * 4) + 3)
artificial_language_g0_63_m3,96,(((4 + 2) * 4) * 4)
artificial_language_g0_63_m3,97,((((4 + 2) * 4) * 4) + 1)
artificial_language_g0_63_m3,98,((((4 + 2) * 4) * 4) + 2)
artificial_language_g0_63_m3,99,((((4 + 2) * 4) * 4) + 3)
artificial_language_g1_39_m3,1,1
artificial_language_g1_39_m3,2,2
artificial_language_g1_39_m3,3,3
artificial_language_g1_39_m3,4,4
artificial_language_g1_39_m3,5,5
artificial_language_g1_39_m3,6,6
artificial_language_g1_39_m3,7,(6 + 1)
artificial_language_g1_39_m3,8,(6 + 2)
artificial_language_g1_39_m3,9,(6 + 3)
artificial_language_g1_39_m3,10,(6 + 4)
artificial_language_g1_39_m3,11,(6 + 5)
artificial_language_g1_39_m3,12,(2 * 6)
artificial_language_g1_39_m3,13,((2 * 6) + 1)
artificial_language_g1_39_m3,14,((2 * 6) + 2)
artificial_language_g1_39_m3,15,((2 * 6) + 3)
artificial_language_g1_39_m3,16,((2 * 6) + 4)
artificial_language_g1_39_m3,17,((2 * 6) + 5)
artificial_language_g1_39_m3,18,(3 * 6)
artificial_language_g1_39_m3,19,((3 * 6) + 1)
artificial_language_g1_39_m3,20,((3 * 6) + 2)
artificial_language_g1_39_m3,21,((3 * 6) + 3)
artificial_language_g1_39_m3,22,((3 * 6) + 4)
artificial_language_g1_39_m3,23,((3 * 6) + 5)
artificial_language_g1_39_m3,24,(4 * 6)
artificial_language_g1_39_m3,25,((4 * 6) + 1)
artificial_language_g1_39_m3,26,((4 * 6) + 2)
artificial_language_g1_39_m3,27,((4 * 6) + 3)
artificial_language_g1_39_m3,28,((4 * 6) + 4)
artificial_language_g1_39_m3,29,((4 * 6) + 5)
artificial_language_g1_39_m3,30,(5 * 6)
artificial_language_g1_39_m3,31,((5 * 6) + 1)
artificial_language_g1_39_m3,32,((5 * 6) + 2)
artificial_language_g1_39_m3,33,((5 * 6) + 3)
artificial_language_g1_39_m3,34,((5 * 6) + 4)
artificial_language_g1_39_m3,35,((5 * 6) + 5)
artificial_language_g1_39_m3,36,(6 * 6)
artificial_language_g1_39_m3,37,((6 * 6) + 1)
artificial_language_g1_39_m3,38,((6 * 6) + 2)
artificial_language_g1_39_m3,39,((6 * 6) + 3)
artificial_language_g1_39_m3,40,((6 * 6) + 4)
artificial_language_g1_39_m3,41,((6 * 6) + 5)
artificial_language_g1_39_m3,42,((6 + 1) * 6)
artificial_language_g1_39_m3,43,(((6 + 1) * 6) + 1)
artificial_language_g1_39_m3,44,(((6 + 1) * 6) + 2)
artificial_language_g1_39_m3,45,(((6 + 1) * 6) + 3)
artificial_language_g1_39_m3,46,(((6 + 1) * 6) + 4)
artificial_language_g1_39_m3,47,(((6 + 1) * 6) + 5)
artificial_language_g1_39_m3,48,((6 + 2) * 6)
artificial_language_g1_39_m3,49,(((6 + 2) * 6) + 1)
artificial_language_g1_39_m3,50,(((6 + 2) * 6) + 2)
artificial_language_g1_39_m3,51,(((6 + 2) * 6) + 3)
artificial_language_g1_39_m3,52,(((6 + 2) * 6) + 4)
artificial_language_g1_39_m3,53,(((6 + 2) * 6) + 5)
artificial_language_g1_39_m3,54,((6 + 3) * 6)
artificial_language_g1_39_m3,55,(((6 + 3) * 6) + 1)
artificial_language_g1_39_m3,56,(((6 + 3) * 6) + 2)
artificial_language_g1_39_m3,57,(((6 + 3) * 6) + 3)
artificial_language_g1_39_m3,58,(((6 + 3) * 6) + 4)
artificial_language_g1_39_m3,59,(((6 + 3) * 6) + 5)
artificial_language_g1_39_m3,60,((6 + 4) * 6)
artificial_language_g1_39_m3,61,(((6 + 4) * 6) + 1)
artificial_language_g1_39_m3,62,(((6 + 4) * 6) + 2)
artificial_language_g1_39_m3,63,(((6 + 4) * 6) + 3)
artificial_language_g1_39_m3,64,(((6 + 4) * 6) + 4)
artificial_language_g1_39_m3,65,(((6 + 4) * 6) + 5)
artificial_language_g1_39_m3,66,((6 + 5) * 6)
artificial_language_g1_39_m3,67,(((6 + 5) * 6) + 1)
artificial_language_g1_39_m3,68,(((6 + 5) * 6) + 2)
artificial_language_g1_39_m3,69,(((6 + 5) * 6) + 3)
artificial_language_g1_39_m3,70,(((6 + 5) * 6) + 4)
artificial_language_g1_39_m3,71,(((6 + 5) * 6) + 5)
artificial_language_g1_39_m3,72,((2 * 6) * 6)
artificial_language_g1_39_m3,73,(((2 * 6) * 6) + 1)
artificial_language_g1_39_m3,74,(((2 * 6) * 6) + 2)
artificial_language_g1_39_m3,75,(((2 * 6) * 6) + 3)
artificial_language_g1_39_m3,76,(((2 * 6) * 6) + 4)
artificial_language_g1_39_m3,77,(((2 * 6) * 6) + 5)
artificial_language_g1_39_m3,78,(((2 * 6) + 1) * 6)
artificial_language_g1_39_m3,79,((((2 * 6) + 1) * 6) + 1)
artificial_language_g1_39_m3,80,((((2 * 6) + 1) * 6) + 2)
artificial_language_g1_39_m3,81,((((2 * 6) + 1) * 6) + 3)
artificial_language_g1_39_m3,82,((((2 * 6) + 1) * 6) + 4)
artificial_language_g1_39_m3,83,((((2 * 6) + 1) * 6) + 5)
artificial_language_g1_39_m3,84,(((2 * 6) + 2) * 6)
artificial_language_g1_39_m3,85,((((2 * 6) + 2) * 6) + 1)
artificial_language_g1_39_m3,86,((((2 * 6) + 2) * 6) + 2)
artificial_language_g1_39_m3,87,((((2 * 6) + 2) * 6) + 3)
artificial_language_g1_39_m3,88,((((2 * 6) + 2) * 6) + 4)
artificial_language_g1_39_m3,89,((((2 * 6) + 2) * 6) + 5)
artificial_language_g1_39_m3,90,(((2 * 6) + 3) * 6)
artificial_language_g1_39_m3,91,((((2 * 6) + 3) * 6) + 1)
artificial_language_g1_39_m3,92,((((2 * 6) + 3) * 6) + 2)
artificial_language_g1_39_m3,93,((((2 * 6) + 3) * 6) + 3)
artificial_language_g1_39_m3,94,((((2 * 6) + 3) * 6) + 4)
artificial_language_g1_39_m3,95,((((2 * 6) + 3) * 6) + 5)
artificial_language_g1_39_m3,96,(((2 * 6) + 4) * 6)
artificial_language_g1_39_m3,97,((((2 * 6) + 4) * 6) + 1)
artificial_language_g1_39_m3,98,((((2 * 6) + 4) * 6) + 2)
artificial_language_g1_39_m3,99,((((2 * 6) + 4) * 6) + 3)
artificial_language_g1_39_m3_m4,1,1
